RESULTS_OUTCOME_ANAL_GRP_ID|RESULTS_OUTCOME_ANALYSIS_ID|ARM_GROUP_ID
208|267|566617
209|268|566617
210|268|564510
211|267|559281
212|266|561201
213|265|562011
214|264|562483
215|263|564391
216|262|574815
217|261|573808
218|269|571442
219|270|571442
220|271|571442
221|272|571442
222|273|571442
223|274|571442
224|275|571442
225|276|571442
226|276|568822
227|275|566703
228|274|606600
229|273|608784
230|272|605572
231|271|607749
232|270|609113
407|197|583934
408|196|611030
409|197|611030
410|196|612008
411|197|612008
412|198|595810
413|198|592929
414|199|617976
415|199|614663
416|200|373103
417|201|370406
418|202|372071
419|203|447990
420|204|488446
421|204|466452
571|140|424437
572|139|422353
573|140|422353
574|141|454171
575|142|430766
576|141|428407
577|142|428407
578|297|433562
579|298|428036
580|299|428648
465|409|555984
466|245|545941
467|246|545941
468|247|545941
469|248|545941
470|249|545941
471|250|545941
472|251|545941
473|252|545941
474|252|547804
475|251|549411
476|250|547073
477|249|549235
478|248|550866
479|247|554684
480|246|557393
481|245|554765
482|212|561721
483|213|561721
484|191|562479
485|209|562479
486|210|562479
487|211|562479
488|212|562479
489|213|562479
490|214|564387
491|215|564387
492|216|564387
493|217|564387
378|27|502360
379|28|502360
380|28|499466
381|29|501090
382|30|501090
383|29|498432
384|30|475258
385|227|566699
386|228|566699
609|312|470182
610|313|470182
611|314|470182
612|315|470182
613|316|470182
614|317|470182
615|318|472102
616|320|472102
617|322|472102
618|324|472102
619|319|469722
620|321|469722
621|323|469722
622|325|469722
623|318|466495
624|319|466495
625|320|466495
626|321|466495
627|322|466495
628|323|466495
629|324|466495
630|325|466495
631|326|488442
632|327|488442
633|326|466189
634|327|466189
635|328|498799
636|328|503339
637|329|505233
638|329|502871
668|351|553482
669|352|553482
670|353|553482
671|354|553482
672|355|553482
673|350|550574
674|351|550574
675|352|550574
676|353|550574
677|354|550574
678|355|550574
679|356|559644
680|357|559644
681|358|559644
682|359|559644
683|166|559644
684|167|559644
685|356|561528
686|357|561528
687|358|561528
688|359|561528
689|166|561528
690|167|561528
691|168|559710
692|169|559710
693|170|559710
694|171|559710
695|172|559710
696|173|559710
726|185|564258
727|186|559021
728|187|559021
729|188|559021
730|189|559021
731|190|559021
732|186|561197
733|187|561197
734|188|561197
735|189|561197
736|190|561197
737|191|561721
738|209|561721
387|229|566699
388|230|566699
389|231|566699
390|232|605568
391|233|605568
392|234|605568
393|192|605568
394|193|605568
395|232|607492
396|233|607492
397|234|607492
398|192|607492
399|193|607492
400|194|608690
401|194|591183
402|195|584976
403|195|585779
404|196|586857
405|197|586857
406|196|583934
581|300|428648
582|301|428648
583|302|436797
584|304|436797
585|306|436797
586|308|436797
587|303|434693
588|305|434693
589|307|434693
590|309|434693
591|302|436330
592|303|436330
593|304|436330
594|305|436330
595|306|436330
596|307|436330
597|308|436330
598|309|436330
599|310|437691
600|312|437691
601|314|437691
602|316|437691
603|311|469118
604|313|469118
605|315|469118
606|317|469118
607|310|470182
608|311|470182
547|372|508757
548|371|510136
549|379|507473
550|380|507473
551|381|507473
552|382|507473
553|383|507473
554|384|507473
555|385|507473
556|132|414090
557|133|416007
558|132|410476
559|133|410476
560|134|412655
561|134|410011
562|135|411918
563|136|413796
564|135|389360
565|136|389360
566|137|418899
567|138|421088
568|137|418988
569|138|418988
570|139|423366
811|541|466456
812|540|461728
697|168|570278
698|169|570278
699|170|570278
700|171|570278
701|172|570278
702|173|570278
703|174|567064
704|175|567064
705|176|567064
706|177|567064
707|178|567064
708|179|567064
709|174|569264
710|175|569264
711|176|569264
712|177|569264
713|178|569264
714|179|569264
715|180|566613
716|181|566613
717|182|566613
718|183|566613
719|184|566613
720|185|566613
721|180|564258
722|181|564258
723|182|564258
724|183|564258
725|184|564258
639|330|505057
640|330|479951
641|331|481970
642|331|479861
643|332|521432
644|332|523046
645|333|517804
646|333|515714
647|334|517321
648|335|522918
649|336|520601
650|337|495236
651|338|491154
652|338|493863
653|339|494346
654|339|495959
655|340|532284
656|341|529018
657|342|530673
658|343|532331
659|344|529086
660|345|536895
661|346|538573
662|347|539392
663|348|509111
664|348|545007
665|349|543438
666|349|545062
667|350|553482
842|558|503606
843|557|505526
844|556|503135
845|564|505319
846|565|505319
847|566|505319
848|567|505319
849|568|505319
850|569|505319
851|570|505319
852|386|507473
853|386|509649
854|385|541535
855|384|544267
856|383|545070
857|380|542419
858|379|544053
859|382|553490
860|381|550832
861|387|556732
862|388|556732
863|389|556732
864|390|556732
865|391|556732
866|392|556732
867|393|556732
868|394|556732
869|394|554374
870|286|608694
871|287|608694
872|288|608694
873|289|608694
874|290|608694
875|291|608694
876|292|608694
877|292|591187
739|210|561721
740|211|561721
741|515|425092
742|514|429767
743|513|436805
744|512|434701
745|511|436877
746|510|437956
747|509|469665
748|508|470733
749|516|472356
750|517|472356
751|518|472356
752|519|472356
753|520|472356
754|521|472356
755|522|472356
756|523|472356
757|523|469730
758|522|466755
759|521|442812
760|520|444203
761|519|449278
762|518|450655
763|517|447994
764|516|442434
765|524|440065
766|525|440065
767|526|440065
768|527|440065
769|528|440065
770|529|440065
771|530|440065
772|531|440065
773|531|441141
774|530|442505
775|529|440402
776|528|449177
777|527|447898
778|526|454090
779|525|451184
780|524|452548
781|532|488696
782|533|488696
783|534|488696
784|535|488696
785|536|488696
786|537|488696
787|538|488696
788|539|488696
789|539|481762
790|538|482278
791|537|483915
792|536|481537
793|535|483180
794|534|459303
795|533|456369
796|532|458004
797|540|455897
798|541|455897
799|542|455897
800|543|455897
801|544|455897
802|545|455897
803|546|455897
804|547|455897
805|547|460156
806|546|455980
807|545|457858
808|544|455474
809|543|487393
810|542|488988
902|445|614923
903|446|614923
904|447|614923
905|448|614923
906|449|614923
907|450|614923
908|451|614923
909|451|616317
910|450|594582
911|449|595928
912|448|602121
913|447|604610
914|445|601663
915|446|601663
916|444|600324
917|452|380127
918|453|380127
919|454|380127
920|455|380127
921|456|380127
922|457|380127
923|458|380127
924|459|380127
925|459|380987
926|454|382370
927|453|359319
928|452|357202
929|458|358023
930|457|359098
931|456|360458
932|455|392511
933|460|393598
934|461|393598
935|462|393598
936|463|393598
937|464|393598
938|465|393598
939|466|393598
940|467|393598
941|467|394438
942|466|391460
943|465|392544
944|464|400608
945|463|401706
946|462|403060
947|461|399859
948|460|401773
949|468|391535
998|493|419194
999|494|419194
1000|495|419194
1001|496|419194
1002|497|419194
1003|498|419194
1004|499|419194
1005|499|417374
1006|498|419531
1007|497|389541
1008|496|424659
1009|495|423625
1010|494|424997
1011|493|422361
1012|492|454719
1013|500|431057
1014|501|431057
1015|502|431057
813|548|462777
814|549|462777
815|550|462777
816|551|462777
817|552|462777
818|553|462777
819|554|462777
820|555|462777
821|551|467612
822|555|464950
823|554|500757
824|553|498653
825|552|500282
826|550|501890
827|549|498985
828|548|475530
829|556|473688
830|557|473688
831|558|473688
832|559|473688
833|560|473688
834|561|473688
835|562|473688
836|563|473688
837|563|474500
838|562|476411
839|561|473734
840|560|475383
841|559|499089
1016|503|431057
1017|504|431057
1018|505|431057
1019|506|431057
1020|507|431057
1021|507|428700
1022|506|426088
1023|505|427696
1024|504|433570
1025|503|428044
1026|502|425970
1027|501|426764
1028|500|428909
1029|508|422633
1030|509|422633
1031|510|422633
1032|511|422633
1033|512|422633
1034|513|422633
1035|514|422633
1036|515|422633
1037|844|560124
1038|845|560124
1039|846|560124
1040|847|560124
950|469|391535
951|470|391535
952|471|391535
953|472|391535
954|473|391535
955|474|391535
956|475|391535
957|475|392629
958|474|397772
959|473|399706
960|472|397038
961|471|370586
962|470|373107
963|469|370410
964|468|372315
965|476|369905
966|477|369905
967|478|369905
968|479|369905
969|480|369905
970|481|369905
971|482|369905
972|483|369905
973|483|371010
974|482|406879
975|481|407711
976|480|405001
977|479|406099
978|478|437551
979|477|413770
980|476|419065
981|484|420447
982|485|420447
983|486|420447
984|487|420447
985|488|420447
986|489|420447
987|490|420447
988|491|420447
989|485|414098
990|484|416259
991|491|410733
992|490|408660
993|489|410555
994|488|416442
995|487|413804
996|486|389625
997|492|419194
878|291|584980
879|290|585783
880|289|587151
881|288|583938
882|287|611034
883|286|612271
884|285|612504
885|293|613442
886|294|613442
887|295|613442
888|296|613442
889|440|613442
890|441|613442
891|442|613442
892|443|613442
893|443|610541
894|442|599245
895|441|600315
896|440|596787
897|296|594208
898|295|595814
899|294|592933
900|293|613814
901|444|614923
1142|361|517329
1143|362|517329
1144|362|522926
1145|361|520849
1146|360|495244
1147|413|491707
1148|412|489903
1149|411|494354
1150|580|496221
1151|581|532292
1152|363|529585
1153|364|529585
1154|365|529585
1155|366|529585
1156|416|551416
1157|417|551416
1158|418|551416
1159|419|551416
1160|420|551416
1161|421|551416
1162|436|551416
1163|437|551416
1164|438|551416
1165|439|551416
1166|603|551416
1167|604|551416
1168|605|581140
1169|606|581140
1170|607|581140
1171|422|581140
1172|423|581140
1173|424|581140
1174|425|581140
1175|426|581140
1176|427|581140
1177|428|581140
1178|605|591751
1179|606|591751
1180|607|591751
1181|422|591751
1182|423|591751
1183|424|591751
1184|425|591751
1185|426|591751
1186|427|591751
1187|428|591751
1188|429|587417
1189|430|587417
1190|431|587417
1191|433|587417
1192|434|587417
1193|435|587417
1194|798|587417
1195|799|587417
1196|800|587417
1197|429|584484
1198|430|584484
1199|431|584484
1200|432|584484
1201|433|584484
1202|434|584484
1203|435|584484
1204|798|584484
1205|799|584484
1206|800|584484
1207|801|612738
1208|802|612738
1209|803|612738
1210|804|612738
1211|805|612738
1212|806|612738
1213|807|612738
1214|808|612738
1215|809|612738
1216|801|613454
1217|802|613454
1218|803|613454
1219|804|613454
1220|805|613454
1221|806|613454
1222|807|613454
1223|808|613454
1224|809|613454
1225|810|454356
1226|810|451475
1227|811|453090
1228|811|484695
1229|812|480952
1230|813|542368
1231|814|542368
1232|815|542368
1233|814|544812
1234|815|541345
1235|813|542975
1236|816|574446
1237|817|574446
1041|848|561760
1042|707|561760
1043|708|561760
1044|709|561760
1074|611|554030
1075|610|589218
1076|609|558278
1077|608|559903
1078|395|558340
1079|615|559972
1080|616|559972
1081|617|559972
1082|618|559972
1083|619|559972
1084|620|559972
1085|621|559972
1086|622|559972
1087|622|570579
1088|621|567354
1089|620|569564
1090|619|566906
1091|618|564514
1092|617|559582
1093|616|561205
1094|615|562273
1095|623|563011
1096|624|563011
1097|625|563011
1098|626|563011
1099|627|563011
1100|628|563011
1101|629|563011
1102|630|563011
1103|630|564634
1104|629|574819
1105|628|573812
1106|627|571446
1107|626|569081
1108|625|570992
1109|624|606604
1110|623|609039
1111|571|505319
1112|569|480239
1113|568|479517
1114|567|484896
1115|571|482230
1116|566|480405
1117|565|512219
1118|570|513803
1119|564|511749
1120|572|514169
1121|573|514169
1122|574|514169
1123|575|514169
1124|576|514169
1125|577|514169
1126|578|514169
1127|579|514169
1128|575|511856
1129|574|493425
1130|573|491310
1131|572|493736
1132|579|521440
1133|578|523580
1134|577|518352
1135|576|515722
1136|580|517329
1137|581|517329
1138|411|517329
1139|412|517329
1140|413|517329
1141|360|517329
1059|390|545477
1060|389|547077
1061|388|549239
