NCT_ALIAS_ID|NCT_ID|NCT_ALIAS
411|NCT00003838|NCT00001875
412|NCT00003895|NCT02009657
413|NCT00003913|NCT00053755
414|NCT00086684|NCT00399139
415|NCT00087022|NCT00209183
416|NCT00087698|NCT00072397
417|NCT00088166|NCT00091013
418|NCT00088374|NCT00089375
419|NCT00088413|NCT00091000
420|NCT00088530|NCT00101049
421|NCT00088868|NCT00086008
422|NCT00088907|NCT00695760
423|NCT00089349|NCT00229606
424|NCT00089401|NCT00086697
425|NCT00089427|NCT00105014
426|NCT00089596|NCT00301704
427|NCT00089609|NCT00091364
428|NCT00089635|NCT00112944
429|NCT00089778|NCT00091403
166|NCT00010829|NCT00009425
167|NCT00010842|NCT00009438
168|NCT00010855|NCT00008944
169|NCT00010868|NCT00008957
170|NCT00010881|NCT00009451
171|NCT00010933|NCT00009477
172|NCT00010946|NCT00009490
173|NCT00010959|NCT00008970
174|NCT00010972|NCT00008983
175|NCT00010985|NCT00008918
176|NCT00010998|NCT00009503
177|NCT00011414|NCT00020514
178|NCT00011492|NCT00045071
179|NCT00011778|NCT00016003
180|NCT00012194|NCT00227396
181|NCT00012298|NCT01646879
182|NCT00012350|NCT00021203
183|NCT00013286|NCT00011271
184|NCT00013533|NCT00020592
185|NCT00013611|NCT00002421
186|NCT00013663|NCT00034099
187|NCT00014859|NCT00200915
188|NCT00015132|NCT00015145
189|NCT00015132|NCT00015158
190|NCT00016549|NCT00021086
191|NCT00017693|NCT00016705
192|NCT00017914|NCT00001374
193|NCT00017953|NCT00000624
194|NCT00018941|NCT00001268
195|NCT00018967|NCT00001299
196|NCT00019006|NCT00001380
197|NCT00019019|NCT00001423
198|NCT00019032|NCT00001425
199|NCT00019071|NCT00001433
200|NCT00019084|NCT00001434
201|NCT00019097|NCT00001562
202|NCT00019110|NCT00001441
383|NCT00001803|NCT00003866
384|NCT00001806|NCT00019877
385|NCT00001807|NCT00020293
386|NCT00001813|NCT00004044
387|NCT00001823|NCT00019799
388|NCT00001827|NCT00019903
389|NCT00001830|NCT00019851
390|NCT00001832|NCT00019942
391|NCT00001880|NCT00003839
392|NCT00001933|NCT00000186
393|NCT00001938|NCT00020033
394|NCT00001941|NCT00020020
395|NCT00001967|NCT00001134
396|NCT00001972|NCT00001370
397|NCT00001973|NCT00001607
398|NCT00002220|NCT00002242
399|NCT00002445|NCT00003879
400|NCT00002514|NCT00222586
401|NCT00002765|NCT00001501
402|NCT00002786|NCT00029419
403|NCT00002835|NCT00038740
404|NCT00003064|NCT00034320
405|NCT00003552|NCT00001739
406|NCT00003553|NCT00001635
407|NCT00003646|NCT00416806
408|NCT00003647|NCT00416416
409|NCT00003691|NCT00698620
410|NCT00003789|NCT00056732
44|NCT00006515|NCT00020423
45|NCT00006518|NCT00898651
46|NCT00006981|NCT00006416
47|NCT00007098|NCT00143897
48|NCT00007332|NCT00006147
49|NCT00007345|NCT00020436
50|NCT00007501|NCT00023257
51|NCT00007501|NCT00001907
52|NCT00007501|NCT00006065
53|NCT00007501|NCT00006069
54|NCT00007644|NCT00002606
55|NCT00007800|NCT00331266
56|NCT00007956|NCT00006423
57|NCT00009035|NCT00458640
58|NCT00009191|NCT00000182
59|NCT00009204|NCT00000184
60|NCT00009217|NCT00000183
61|NCT00009230|NCT00000185
62|NCT00009256|NCT00005114
63|NCT00009594|NCT00009282
64|NCT00010049|NCT00023179
65|NCT00010361|NCT00144742
66|NCT00010465|NCT00009269
265|NCT00045500|NCT00041873
266|NCT00045630|NCT00191217
267|NCT00045734|NCT00069667
268|NCT00045877|NCT00066534
269|NCT00045942|NCT00045578
270|NCT00046189|NCT00049621
271|NCT00046449|NCT00300144
272|NCT00046709|NCT00052871
273|NCT00046917|NCT01645462
274|NCT00046930|NCT00046046
275|NCT00047060|NCT00042640
276|NCT00047385|NCT00028808
277|NCT00047450|NCT00046098
278|NCT00047476|NCT00052533
279|NCT00047736|NCT00029016
280|NCT00047788|NCT00052741
281|NCT00047801|NCT00068705
282|NCT00047879|NCT00052650
283|NCT00047970|NCT00339820
284|NCT00048230|NCT00052260
285|NCT00048334|NCT00052767
286|NCT00048503|NCT00057824
287|NCT00048503|NCT00723034
288|NCT00048555|NCT00056043
289|NCT00048815|NCT00043524
290|NCT00048815|NCT00050544
291|NCT00048880|NCT00053079
292|NCT00048893|NCT00053170
293|NCT00048984|NCT00063271
294|NCT00048984|NCT00228774
295|NCT00049387|NCT00060879
296|NCT00049543|NCT00953069
297|NCT00049556|NCT00046007
298|NCT00049608|NCT00044161
299|NCT00050141|NCT00060177
300|NCT00050141|NCT00723372
301|NCT00050154|NCT00722787
302|NCT00050323|NCT00062192
303|NCT00050375|NCT00068354
304|NCT00050388|NCT00028457
305|NCT00050414|NCT01336504
306|NCT00050427|NCT01328327
307|NCT00050440|NCT01328314
308|NCT00050752|NCT00055627
309|NCT00050960|NCT00036907
310|NCT00050973|NCT00030927
311|NCT00050999|NCT00002683
312|NCT00051012|NCT00005620
313|NCT00051025|NCT00005621
314|NCT00051311|NCT00055744
315|NCT00051467|NCT00049647
316|NCT00051506|NCT00062088
317|NCT00051571|NCT00031603
318|NCT00051584|NCT00056017
319|NCT00051636|NCT00050258
320|NCT00051805|NCT00078780
321|NCT00052000|NCT00058409
322|NCT00052130|NCT00004130
323|NCT00052156|NCT00003722
324|NCT00052221|NCT00563719
325|NCT00052351|NCT00047398
326|NCT00052728|NCT00048867
579|NCT00061815|NCT00065520
580|NCT00062036|NCT00059163
581|NCT00062049|NCT00059059
582|NCT00062166|NCT01444950
583|NCT00062686|NCT00068627
584|NCT00062751|NCT00061971
585|NCT00062855|NCT00002713
586|NCT00062868|NCT00070226
587|NCT00062868|NCT00671164
588|NCT00062933|NCT00066521
589|NCT00063141|NCT00065598
590|NCT00063154|NCT00095602
591|NCT00063401|NCT00070044
592|NCT00063583|NCT00105391
593|NCT00063713|NCT00084851
594|NCT00063726|NCT00049478
595|NCT00064129|NCT01648361
596|NCT00064311|NCT00061555
597|NCT00064363|NCT00061685
598|NCT00064428|NCT01352156
599|NCT00064883|NCT00068536
600|NCT00064974|NCT00077506
601|NCT00065156|NCT00074126
602|NCT00065429|NCT00074256
603|NCT00065442|NCT00084760
604|NCT00065468|NCT00070330
605|NCT00065858|NCT00397618
606|NCT00065988|NCT00000364
607|NCT00066014|NCT00000366
608|NCT00066040|NCT00016822
609|NCT00066092|NCT00060229
610|NCT00066118|NCT00000365
611|NCT00066196|NCT00081081
612|NCT00066300|NCT00061581
613|NCT00066417|NCT00062725
614|NCT00066573|NCT00438529
615|NCT00066586|NCT00258648
616|NCT00074048|NCT00071318
617|NCT00074165|NCT00261651
618|NCT00074243|NCT00071864
619|NCT00074386|NCT00023478
620|NCT00074386|NCT00473629
621|NCT00074425|NCT00197665
622|NCT00074490|NCT00077480
623|NCT00074607|NCT00039143
624|NCT00074607|NCT00048243
625|NCT00074607|NCT00052806
626|NCT00075088|NCT00305318
627|NCT00075218|NCT00085618
628|NCT00075270|NCT00085046
629|NCT00075803|NCT00322088
630|NCT00075816|NCT00321776
631|NCT00075816|NCT00473395
632|NCT00075829|NCT00321607
633|NCT00075829|NCT00386568
634|NCT00076011|NCT00077272
635|NCT00076102|NCT00078936
636|NCT00076180|NCT00079196
637|NCT00076232|NCT00068965
638|NCT00076752|NCT00726518
639|NCT00076986|NCT00090948
640|NCT00077454|NCT00089934
641|NCT00077493|NCT00075309
642|NCT00077532|NCT00076167
643|NCT00077857|NCT00083200
644|NCT00077922|NCT00080821
645|NCT00077974|NCT00082849
646|NCT00077987|NCT00082771
647|NCT00078000|NCT00095615
648|NCT00078468|NCT00085592
649|NCT00078494|NCT00112541
650|NCT00078546|NCT00608257
651|NCT00078559|NCT00585130
652|NCT00078572|NCT00086814
653|NCT00078585|NCT00081120
654|NCT00078793|NCT00016575
655|NCT00078806|NCT00039949
656|NCT00078949|NCT00089817
657|NCT00079001|NCT00698308
658|NCT00079144|NCT00076661
659|NCT00079170|NCT00076193
660|NCT00079274|NCT00170092
430|NCT00090363|NCT00107146
431|NCT00090545|NCT00093431
203|NCT00019123|NCT00001492
204|NCT00019136|NCT00001494
205|NCT00019175|NCT00001510
206|NCT00037817|NCT00041158
207|NCT00038064|NCT00046982
208|NCT00038181|NCT00080652
209|NCT00038220|NCT00006189
210|NCT00038246|NCT00082693
211|NCT00038532|NCT00021619
212|NCT00038636|NCT00006210
213|NCT00038662|NCT00084994
214|NCT00038727|NCT00353314
215|NCT00039000|NCT00047359
216|NCT00039377|NCT01648426
217|NCT00039481|NCT00061191
218|NCT00039559|NCT00301743
219|NCT00039585|NCT00035646
220|NCT00039624|NCT00045344
221|NCT00039676|NCT00052234
222|NCT00039793|NCT00058513
223|NCT00040092|NCT00045409
224|NCT00040170|NCT00040976
225|NCT00040222|NCT00045214
226|NCT00040274|NCT00023270
227|NCT00040352|NCT00045240
228|NCT00040365|NCT00045253
229|NCT00040378|NCT00780689
230|NCT00040781|NCT00050739
231|NCT00040911|NCT00034411
232|NCT00040911|NCT00034996
233|NCT00041119|NCT00698217
234|NCT00041613|NCT00040703
235|NCT00041626|NCT00040716
236|NCT00041665|NCT00020813
237|NCT00041730|NCT00060164
238|NCT00041808|NCT00023803
239|NCT00042120|NCT00342914
240|NCT00042146|NCT00218738
241|NCT00042367|NCT00005063
242|NCT00042666|NCT00054080
243|NCT00042861|NCT00039637
244|NCT00043043|NCT00056615
245|NCT00043381|NCT00022061
246|NCT00043420|NCT00091208
247|NCT00043472|NCT00049049
248|NCT00043472|NCT00284544
249|NCT00043615|NCT00896805
250|NCT00043979|NCT00047372
251|NCT00044330|NCT00053066
252|NCT00044356|NCT00028444
253|NCT00044512|NCT00048919
254|NCT00044512|NCT00058383
255|NCT00044733|NCT00053274
256|NCT00044902|NCT00054379
257|NCT00045097|NCT00040079
258|NCT00045110|NCT00055276
259|NCT00045123|NCT00043251
260|NCT00045149|NCT00029432
261|NCT00045201|NCT01646892
262|NCT00045201|NCT01664286
263|NCT00045227|NCT00041522
264|NCT00045331|NCT00039806
529|NCT00036569|NCT00041145
530|NCT00036647|NCT00026325
531|NCT00036894|NCT00032214
532|NCT00036959|NCT00032266
533|NCT00037804|NCT00002958
534|NCT00053703|NCT00043290
535|NCT00053937|NCT00050453
536|NCT00053963|NCT00069771
537|NCT00054405|NCT00065494
538|NCT00054535|NCT00051610
539|NCT00054639|NCT01654952
540|NCT00054665|NCT00057902
541|NCT00054795|NCT00066820
542|NCT00054899|NCT00060047
543|NCT00055237|NCT00058136
544|NCT00055562|NCT00060281
545|NCT00055991|NCT00206479
546|NCT00056173|NCT00084331
547|NCT00056446|NCT00068679
548|NCT00056563|NCT00101556
549|NCT00056966|NCT00602888
550|NCT00057005|NCT00601380
551|NCT00057252|NCT00851097
552|NCT00057382|NCT00066287
553|NCT00057616|NCT00051064
554|NCT00057720|NCT00078884
555|NCT00057759|NCT00075127
556|NCT00057889|NCT00053729
557|NCT00058019|NCT01660269
558|NCT00058279|NCT00055211
559|NCT00058539|NCT00066755
560|NCT00058552|NCT00070408
561|NCT00058591|NCT00608608
562|NCT00058604|NCT00607698
563|NCT00058617|NCT00002821
564|NCT00058747|NCT00070395
565|NCT00058786|NCT00609076
566|NCT00058812|NCT00608309
567|NCT00059462|NCT00048191
568|NCT00059475|NCT00062218
569|NCT00059631|NCT00082680
570|NCT00059722|NCT00072423
571|NCT00060437|NCT00058708
572|NCT00060528|NCT00062153
573|NCT00060671|NCT00062361
574|NCT00060684|NCT00057772
575|NCT00061035|NCT00066261
576|NCT00061048|NCT00064155
577|NCT00061347|NCT00882349
578|NCT00061477|NCT00060190
516|NCT00035022|NCT00066235
517|NCT00035035|NCT00049426
518|NCT00035061|NCT00039260
519|NCT00035204|NCT00236314
520|NCT00035243|NCT00041002
521|NCT00035334|NCT00017667
522|NCT00035373|NCT00040924
523|NCT00035880|NCT00012077
524|NCT00035932|NCT00028054
525|NCT00036023|NCT00039247
526|NCT00036426|NCT00014157
527|NCT00036543|NCT00026481
528|NCT00036556|NCT00026455
760|NCT00104962|NCT00269711
761|NCT00105144|NCT00235742
762|NCT00105950|NCT00214409
763|NCT00105950|NCT00278317
764|NCT00106184|NCT00393237
765|NCT00106418|NCT00058643
766|NCT00106431|NCT00337025
767|NCT00106613|NCT00058630
768|NCT00106613|NCT00060216
769|NCT00107003|NCT00103129
770|NCT00108056|NCT00112788
771|NCT00108069|NCT00112762
772|NCT00108342|NCT00876239
773|NCT00108355|NCT00530959
774|NCT00108550|NCT01828450
775|NCT00109005|NCT00112606
776|NCT00109031|NCT00126529
777|NCT00109031|NCT00965692
778|NCT00109070|NCT00012233
779|NCT00109226|NCT00012272
780|NCT00066599|NCT00062920
781|NCT00066651|NCT00065481
782|NCT00066664|NCT00063167
783|NCT00066690|NCT00917969
784|NCT00066690|NCT02140190
785|NCT00067821|NCT00070512
786|NCT00067990|NCT01467895
787|NCT00068003|NCT00897195
788|NCT00068068|NCT00078871
789|NCT00068471|NCT00063466
790|NCT00068575|NCT01053351
791|NCT00068601|NCT00696267
792|NCT00069121|NCT00080691
793|NCT00069160|NCT00072202
794|NCT00069238|NCT00072254
795|NCT00069589|NCT00177073
796|NCT00069758|NCT00085033
797|NCT00069888|NCT00054509
798|NCT00070616|NCT00963170
799|NCT00070785|NCT00897156
800|NCT00070837|NCT00074347
801|NCT00071058|NCT00073996
802|NCT00071097|NCT00980928
831|NCT00226434|NCT00498823
832|NCT00226434|NCT01300481
833|NCT00227279|NCT00146991
834|NCT00227292|NCT00294333
835|NCT00227877|NCT00592878
836|NCT00227877|NCT00592956
837|NCT00227916|NCT00249184
838|NCT00229697|NCT00069290
839|NCT00229723|NCT00099398
840|NCT00229983|NCT00592787
841|NCT00230191|NCT00046956
842|NCT00230217|NCT00086918
843|NCT00230217|NCT00247767
844|NCT00230529|NCT01128491
845|NCT00231166|NCT00304109
846|NCT00232505|NCT00420329
847|NCT00232505|NCT00492375
848|NCT00233402|NCT00209157
849|NCT00233727|NCT00494000
850|NCT00236132|NCT00275470
851|NCT00238303|NCT01647100
852|NCT00241644|NCT00598468
853|NCT00241904|NCT00385619
854|NCT00242658|NCT00201032
855|NCT00242723|NCT00447447
856|NCT00243191|NCT00176709
857|NCT00243854|NCT00216307
858|NCT00243893|NCT00305994
859|NCT00244257|NCT00245999
860|NCT00244881|NCT00215488
861|NCT00245583|NCT00277628
862|NCT00245635|NCT00029471
863|NCT00245739|NCT00613483
864|NCT00246194|NCT01571154
865|NCT00246727|NCT00352274
866|NCT00246727|NCT00392626
867|NCT00246818|NCT00414791
868|NCT00247260|NCT00252265
869|NCT00248404|NCT00255736
870|NCT00248651|NCT00275626
871|NCT00248768|NCT00449371
872|NCT00249262|NCT00411918
873|NCT00251459|NCT00299078
874|NCT00253474|NCT00156754
875|NCT00253526|NCT00158392
876|NCT00255125|NCT00285480
877|NCT00255775|NCT00090350
878|NCT00256750|NCT00432497
879|NCT00257673|NCT00605501
880|NCT00259740|NCT00337363
881|NCT00259987|NCT00345995
882|NCT00261729|NCT00240201
883|NCT00262184|NCT00154908
884|NCT00262314|NCT00016614
885|NCT00262743|NCT00166335
886|NCT00262821|NCT00704873
803|NCT00071188|NCT00093392
804|NCT00071825|NCT00075361
805|NCT00071942|NCT00077571
806|NCT00071981|NCT00464152
807|NCT00072085|NCT00069043
808|NCT00072111|NCT00068016
809|NCT00072124|NCT00068939
810|NCT00072618|NCT00036010
811|NCT00072904|NCT00177151
812|NCT00073008|NCT00084955
813|NCT00073073|NCT00085072
814|NCT00073112|NCT00080717
815|NCT00073125|NCT00080704
816|NCT00073151|NCT00080730
817|NCT00073398|NCT00075790
818|NCT00073489|NCT00036049
819|NCT00073528|NCT00084968
820|NCT00073983|NCT00070772
821|NCT00222443|NCT00277719
822|NCT00223405|NCT01128231
823|NCT00223808|NCT00038324
824|NCT00224185|NCT00234325
825|NCT00224783|NCT00192530
826|NCT00224848|NCT00205673
827|NCT00224874|NCT00253656
828|NCT00224874|NCT00474149
829|NCT00225121|NCT00276653
830|NCT00225121|NCT00278291
432|NCT00090857|NCT00165529
433|NCT00090857|NCT00577551
434|NCT00091039|NCT00088725
435|NCT00091104|NCT00088439
436|NCT00091195|NCT01645670
437|NCT00091195|NCT01660282
438|NCT00091338|NCT00088322
439|NCT00091442|NCT00343538
440|NCT00091572|NCT00101218
441|NCT00091611|NCT00093574
442|NCT00091676|NCT00001945
443|NCT00091676|NCT00019981
444|NCT00091676|NCT00096577
445|NCT00091858|NCT00098696
446|NCT00092222|NCT00099073
447|NCT00092235|NCT00331968
448|NCT00092950|NCT00095849
449|NCT00093145|NCT00085605
450|NCT00093444|NCT00090805
451|NCT00093496|NCT01646918
452|NCT00093496|NCT01664312
453|NCT00093795|NCT00191958
454|NCT00093964|NCT00103064
455|NCT00093964|NCT00119288
456|NCT00094133|NCT00324337
457|NCT00094497|NCT00924144
458|NCT00094809|NCT00119327
459|NCT00094835|NCT00107224
460|NCT00094887|NCT00652535
461|NCT00094978|NCT00098644
462|NCT00095186|NCT00099034
463|NCT00095225|NCT00098410
464|NCT00095381|NCT00086788
465|NCT00095459|NCT00098592
466|NCT00095576|NCT00770549
467|NCT00095589|NCT00185627
468|NCT00095706|NCT00093535
469|NCT00095875|NCT00705068
470|NCT00095914|NCT00092261
471|NCT00096005|NCT01646905
472|NCT00030108|NCT00025961
473|NCT00030173|NCT00033501
474|NCT00030537|NCT00027313
475|NCT00030992|NCT00033670
476|NCT00031083|NCT00036725
477|NCT00031187|NCT00028470
478|NCT00031447|NCT00001099
479|NCT00031460|NCT00000934
480|NCT00031473|NCT00001098
481|NCT00031486|NCT00001124
482|NCT00031915|NCT00029094
483|NCT00031941|NCT00029081
484|NCT00032045|NCT00029549
485|NCT00032279|NCT00042744
486|NCT00032825|NCT00039221
487|NCT00032890|NCT00010790
488|NCT00032916|NCT00031330
489|NCT00032929|NCT00007553
490|NCT00032929|NCT00024700
491|NCT00032942|NCT00007566
492|NCT00032942|NCT00024713
493|NCT00032955|NCT00015392
494|NCT00032968|NCT00016757
495|NCT00032981|NCT00016770
496|NCT00032994|NCT00015730
497|NCT00033007|NCT00015405
498|NCT00033020|NCT00015418
499|NCT00033033|NCT00024869
500|NCT00033046|NCT00024752
501|NCT00033059|NCT00024765
502|NCT00033072|NCT00024882
503|NCT00033085|NCT00024726
504|NCT00033098|NCT00024778
505|NCT00033111|NCT00024895
506|NCT00033124|NCT00024739
507|NCT00033137|NCT00039533
508|NCT00033878|NCT00060060
509|NCT00034034|NCT00060073
510|NCT00034333|NCT00052819
511|NCT00034346|NCT00068562
512|NCT00034424|NCT00039598
513|NCT00034450|NCT00060034
514|NCT00034697|NCT00030836
515|NCT00034853|NCT00274482
735|NCT00100685|NCT00103077
736|NCT00100880|NCT00106990
737|NCT00101010|NCT00290446
738|NCT00101582|NCT00963456
739|NCT00101595|NCT00110097
740|NCT00101608|NCT00268424
741|NCT00101647|NCT00108693
742|NCT00101660|NCT00112801
743|NCT00101816|NCT00108719
744|NCT00101894|NCT00107328
745|NCT00101920|NCT00079209
746|NCT00101998|NCT00903513
747|NCT00102544|NCT00671840
748|NCT00102596|NCT01195909
749|NCT00103038|NCT00980720
750|NCT00103194|NCT02154373
751|NCT00103259|NCT00695721
752|NCT00103298|NCT00096889
753|NCT00103350|NCT00104208
754|NCT00103610|NCT00248508
755|NCT00103662|NCT00248417
756|NCT00103740|NCT00051649
757|NCT00104065|NCT00124592
758|NCT00104650|NCT00121342
759|NCT00104767|NCT00744783
1024|NCT00136903|NCT00476762
1025|NCT00137878|NCT00069147
1026|NCT00137878|NCT00072241
1027|NCT00137995|NCT00081146
1028|NCT00138125|NCT00203437
1029|NCT00138229|NCT00118599
1030|NCT00139334|NCT00209976
1031|NCT00139685|NCT00264836
1032|NCT00139815|NCT01352169
1033|NCT00141167|NCT00155298
1034|NCT00141778|NCT00134862
1035|NCT00142844|NCT00136162
1036|NCT00143962|NCT00200811
1037|NCT00144430|NCT00228826
1038|NCT00145184|NCT00197535
1039|NCT00145418|NCT00393081
1040|NCT00147563|NCT00260845
1041|NCT00153010|NCT00055406
1042|NCT00153101|NCT00034931
1043|NCT00153166|NCT00225940
1044|NCT00153699|NCT00518063
1045|NCT00153881|NCT00014417
1046|NCT00154063|NCT00239941
1047|NCT00154284|NCT00170807
1048|NCT00156013|NCT00305721
1049|NCT00156676|NCT00127426
1050|NCT00156689|NCT00298948
1051|NCT00158132|NCT00128349
1052|NCT00158366|NCT00177905
1053|NCT00158821|NCT00005573
1054|NCT00159198|NCT00140777
1055|NCT00159861|NCT00147641
1056|NCT00162682|NCT00197626
1057|NCT00165126|NCT00207246
1058|NCT00166543|NCT00687557
1059|NCT00166608|NCT00147407
1060|NCT00167180|NCT00303693
1061|NCT00167219|NCT00262756
1062|NCT00167505|NCT00207545
1063|NCT00167804|NCT00223886
1064|NCT00168766|NCT00492180
1065|NCT00170950|NCT00097864
1066|NCT00171821|NCT00565578
1067|NCT00171834|NCT00088127
1068|NCT00171873|NCT00202085
1069|NCT00174655|NCT00005659
1070|NCT00176605|NCT00227643
1071|NCT00176644|NCT00255632
1072|NCT00176826|NCT00973843
1073|NCT00176852|NCT00005897
1074|NCT00176878|NCT00005895
1075|NCT00176904|NCT00005894
1076|NCT00176917|NCT00005899
1077|NCT00176930|NCT00393133
1078|NCT00177047|NCT00293306
