FIRSTRECEIVED_DISPOSITION_DATE|NCT_ID|FIRSTRECEIVED_RESULTS_DATE
30-Jan-12|NCT00134264|
8-Aug-11|NCT00134563|3-Oct-12
27-Jan-10|NCT00135343|
28-Jan-10|NCT00135369|
27-Jan-10|NCT00135382|
3-Feb-10|NCT00135395|
27-Feb-10|NCT00135408|
27-Feb-10|NCT00135421|
22-Sep-11|NCT00138424|14-Jun-12
15-Feb-12|NCT00138762|
3-Jan-11|NCT00141284|
26-Mar-09|NCT00141323|
15-Feb-12|NCT00145431|
17-Apr-09|NCT00145496|5-Mar-10
23-Apr-09|NCT00145509|26-Mar-10
17-Oct-09|NCT00145574|6-Nov-09
7-Nov-12|NCT00147498|19-Nov-12
8-May-12|NCT00147537|18-Jan-13
29-Apr-09|NCT00150176|28-Apr-10
7-Feb-13|NCT00151398|
19-Aug-09|NCT00151775|8-Mar-10
5-Dec-08|NCT00151814|19-Mar-10
30-Apr-14|NCT00153036|
17-Jun-09|NCT00156910|5-Nov-10
15-Jul-09|NCT00157014|28-Oct-10
12-Feb-10|NCT00162110|
29-Jan-11|NCT00162123|31-Dec-13
10-Sep-10|NCT00162175|
27-Feb-10|NCT00162253|
10-Sep-10|NCT00162279|
27-Feb-10|NCT00162292|
1-Jul-10|NCT00163293|1-Dec-10
30-May-13|NCT00168337|10-Jul-14
21-Jun-13|NCT00168389|10-Jul-14
17-Jun-09|NCT00168428|5-Nov-10
9-Jun-09|NCT00174265|27-May-10
9-Dec-13|NCT00178646|
9-Jul-10|NCT00180271|23-Feb-11
23-Feb-12|NCT00187889|25-Apr-13
17-Feb-09|NCT00192114|
27-Aug-13|NCT00196339|
29-May-09|NCT00197028|13-Dec-12
9-Nov-12|NCT00198263|
24-Apr-13|NCT00198276|
8-Oct-13|NCT00198315|
4-Apr-11|NCT00199381|4-Apr-13
7-May-10|NCT00200057|13-Apr-11
27-Feb-10|NCT00207012|
27-Feb-10|NCT00207025|
3-Feb-10|NCT00207168|
31-Jul-13|NCT00209274|
15-Jan-13|NCT00210522|
15-Jan-13|NCT00210652|
2-Jun-11|NCT00210964|
19-Feb-10|NCT00211237|31-Mar-10
17-Aug-10|NCT00214500|
10-Feb-10|NCT00214526|8-Sep-10
10-Feb-10|NCT00214539|8-Sep-10
23-May-12|NCT00214968|
27-Aug-13|NCT00215852|
20-Aug-12|NCT00216255|
7-Jun-11|NCT00216593|
1-May-12|NCT00219297|
20-Mar-09|NCT00219557|25-Feb-12
10-Oct-12|NCT00226759|
10-Oct-12|NCT00226772|
2-Jun-11|NCT00229008|
10-Feb-10|NCT00231114|31-Aug-10
17-Nov-09|NCT00231257|
16-Nov-09|NCT00232752|
10-Sep-10|NCT00240370|
10-Sep-10|NCT00240383|
29-Aug-12|NCT00241839|28-Mar-13
26-Feb-09|NCT00242710|30-Oct-13
27-Jun-11|NCT00243386|14-Mar-12
9-Jun-09|NCT00243568|
18-Jul-12|NCT00243906|
22-Jul-09|NCT00244751|
17-Jun-11|NCT00245271|
27-Jun-11|NCT00245622|
19-Jul-11|NCT00250822|
27-Feb-10|NCT00252005|
9-May-09|NCT00254579|
24-Sep-09|NCT00254891|
24-Sep-09|NCT00254904|
2-Jun-11|NCT00255099|
29-Apr-10|NCT00256750|
3-Jan-11|NCT00257205|
21-Jan-09|NCT00259012|30-Nov-09
23-Nov-09|NCT00259740|9-Dec-10
20-Jan-10|NCT00260078|
2-Jan-13|NCT00260156|
27-Feb-10|NCT00261365|
6-Oct-13|NCT00261833|
15-Nov-11|NCT00261846|4-Oct-12
1-Sep-09|NCT00262067|20-Aug-13
30-Dec-09|NCT00262080|30-Dec-09
8-Feb-12|NCT00262106|
1-May-12|NCT00262990|
10-Jul-12|NCT00263341|
6-Apr-11|NCT00264004|26-Jul-12
21-May-13|NCT00264732|
17-Jan-12|NCT00264810|23-Aug-13
13-Oct-10|NCT00265148|
23-Apr-09|NCT00265343|17-Feb-10
21-Mar-12|NCT00265655|
11-Jul-13|NCT00266461|
16-Oct-09|NCT00266695|
26-Feb-09|NCT00266877|
10-Jun-09|NCT00267020|
15-Feb-12|NCT00267280|
31-Mar-14|NCT00267371|
16-Aug-11|NCT00267592|
30-Jan-10|NCT00270205|7-Sep-11
26-Mar-10|NCT00270296|
24-Sep-09|NCT00271544|30-Apr-09
8-Sep-09|NCT00272493|
6-Mar-13|NCT00272649|
4-Apr-11|NCT00272909|
26-Jan-12|NCT00272961|28-Jan-13
12-Aug-10|NCT00272987|28-Jul-14
21-Apr-14|NCT00273351|
18-Dec-12|NCT00274651|
12-Aug-10|NCT00275431|
6-Apr-09|NCT00276159|2-Mar-10
3-Jan-11|NCT00277238|
14-Feb-13|NCT00277810|
6-Apr-11|NCT00278889|26-Jul-12
5-May-09|NCT00278954|29-May-09
29-Apr-10|NCT00279760|
17-Apr-09|NCT00281320|12-Aug-10
22-Jul-09|NCT00281684|
20-May-09|NCT00282048|25-Feb-12
22-Sep-10|NCT00282243|1-Aug-13
22-Sep-10|NCT00282256|12-Aug-13
22-Sep-10|NCT00282568|25-Jul-13
12-Aug-09|NCT00282919|27-May-14
17-Aug-10|NCT00283933|
17-Aug-10|NCT00283959|
21-Jul-11|NCT00284141|17-Aug-12
3-Feb-10|NCT00284518|16-Nov-12
31-Jul-13|NCT00285259|
26-May-11|NCT00286091|
27-Jun-11|NCT00286793|
12-Aug-10|NCT00286806|
11-Apr-11|NCT00287547|
25-Aug-09|NCT00287716|2-Jun-10
25-Aug-09|NCT00287729|2-Jun-10
3-Sep-09|NCT00289185|8-Nov-12
19-Jan-12|NCT00289549|
23-Sep-10|NCT00289627|
27-Feb-10|NCT00289640|
29-May-09|NCT00289783|15-Jun-12
13-May-11|NCT00290355|
19-Jul-11|NCT00292292|
22-Aug-11|NCT00292396|
23-Nov-09|NCT00293813|22-Dec-09
9-Nov-09|NCT00294723|23-Feb-10
6-May-13|NCT00295009|18-Jun-14
7-Dec-11|NCT00297089|
6-Jun-11|NCT00297310|
30-Jan-09|NCT00297401|
4-Feb-10|NCT00298987|
27-Nov-12|NCT00299507|
2-Jun-11|NCT00299715|
27-Feb-10|NCT00300027|
28-Oct-09|NCT00300053|
9-Mar-09|NCT00300755|30-Nov-09
17-Feb-11|NCT00300781|
5-Mar-10|NCT00302211|27-May-10
9-Feb-13|NCT00303251|
8-Oct-12|NCT00303498|
17-Aug-10|NCT00304512|
26-Jul-13|NCT00305656|
19-Nov-09|NCT00306163|6-Apr-10
23-Nov-09|NCT00306189|22-Dec-09
6-Apr-11|NCT00306891|3-Apr-12
10-Sep-09|NCT00307164|23-Aug-11
27-Nov-12|NCT00307398|
17-Jun-11|NCT00308139|14-Feb-12
1-Oct-09|NCT00308308|
27-Aug-13|NCT00308685|
1-Oct-09|NCT00308737|
27-May-10|NCT00308750|
3-Feb-10|NCT00309049|
27-May-10|NCT00309140|
1-Oct-09|NCT00309244|
11-Feb-10|NCT00310830|
12-Oct-10|NCT00311155|12-Oct-10
22-Jul-09|NCT00311363|28-Apr-11
3-May-11|NCT00311376|9-Sep-11
21-May-13|NCT00312052|
1-Sep-09|NCT00312091|
4-Dec-08|NCT00312364|
3-Feb-10|NCT00312754|
20-Apr-09|NCT00312975|
11-Feb-10|NCT00313196|
11-Feb-10|NCT00313222|
10-Sep-10|NCT00313300|
24-Sep-09|NCT00313768|
8-May-12|NCT00313781|18-Jan-13
20-Mar-09|NCT00313794|
27-Aug-10|NCT00314951|1-Jul-11
21-Mar-14|NCT00315250|
27-Nov-12|NCT00315640|
30-Mar-11|NCT00315757|
24-Aug-10|NCT00317395|
11-Feb-10|NCT00317486|
21-Jul-09|NCT00317694|
4-Dec-08|NCT00318214|
9-Nov-09|NCT00318461|23-Feb-10
9-Mar-12|NCT00319020|
27-Jan-10|NCT00319254|4-Oct-12
10-Jan-13|NCT00319501|
6-Apr-09|NCT00319748|17-Aug-09
28-Sep-09|NCT00319969|
27-Nov-12|NCT00320203|
10-Sep-10|NCT00320255|
30-Nov-10|NCT00320788|16-Dec-11
24-Sep-09|NCT00321308|
27-May-14|NCT00321412|
29-Jun-10|NCT00321464|10-Dec-10
29-Jun-10|NCT00321620|10-Dec-10
9-Aug-10|NCT00321815|
9-Nov-09|NCT00322257|
17-Jun-10|NCT00322465|17-Jun-10
9-May-09|NCT00322517|
29-Jan-11|NCT00323882|23-Jul-14
29-Jan-11|NCT00324155|22-Jan-14
6-Nov-09|NCT00324896|23-Jan-13
3-Jun-11|NCT00326287|
8-Aug-11|NCT00327171|17-Aug-12
21-Jul-11|NCT00327444|17-Aug-12
30-Jul-09|NCT00328627|19-Feb-13
10-Jun-09|NCT00329082|
3-Jan-14|NCT00330369|
23-Nov-09|NCT00330460|18-Jun-10
29-Jun-10|NCT00330759|9-Dec-10
9-Nov-09|NCT00331604|
20-Jul-10|NCT00332163|
30-Apr-13|NCT00332202|
1-Oct-09|NCT00332488|
27-Nov-12|NCT00332657|
27-Feb-10|NCT00332748|
29-Jun-11|NCT00332956|
27-Nov-12|NCT00333216|
13-Oct-10|NCT00333359|28-Apr-11
30-Apr-14|NCT00333411|
30-Nov-09|NCT00333814|12-Oct-10
21-May-13|NCT00334828|
14-Jun-13|NCT00335153|
21-May-13|NCT00335244|
16-Dec-09|NCT00336492|14-Jul-11
15-Mar-11|NCT00336934|
4-Feb-10|NCT00337454|
2-Feb-10|NCT00337532|
3-Aug-10|NCT00339040|7-Sep-11
20-Jul-10|NCT00339183|3-Apr-14
9-Nov-09|NCT00343980|
9-Mar-12|NCT00345358|
27-Apr-09|NCT00345579|15-Jun-12
8-Jun-09|NCT00345683|15-Jun-12
11-Apr-11|NCT00345748|
12-Aug-10|NCT00347009|20-Sep-10
29-Mar-10|NCT00348140|
9-Apr-10|NCT00348205|
29-Mar-10|NCT00348309|
9-Nov-09|NCT00348712|
20-Jan-14|NCT00350272|
25-Oct-10|NCT00350298|
17-Aug-10|NCT00351156|
16-Jan-13|NCT00351767|
15-Feb-10|NCT00352560|
3-Jan-14|NCT00353574|
31-Jul-11|NCT00353938|
31-Jul-09|NCT00354172|30-Nov-09
2-Sep-10|NCT00355121|25-Jul-11
7-Oct-10|NCT00355641|
26-Jul-12|NCT00356369|
24-Mar-11|NCT00357279|
16-Oct-12|NCT00357994|
16-Dec-11|NCT00358150|22-Aug-14
30-Nov-09|NCT00358449|
7-Jun-11|NCT00358501|
21-Jul-09|NCT00358722|
28-Mar-11|NCT00358956|27-Apr-11
27-Feb-10|NCT00359450|
27-Feb-10|NCT00359476|
4-Feb-11|NCT00359619|
16-Aug-13|NCT00360035|
3-Sep-09|NCT00360230|
25-Oct-13|NCT00360568|
3-Jun-11|NCT00361582|
16-May-12|NCT00361842|
12-Feb-10|NCT00362102|
19-Sep-12|NCT00362180|
17-Dec-08|NCT00362609|30-Nov-09
17-Mar-10|NCT00363194|
16-Oct-09|NCT00363766|
20-Jul-10|NCT00364013|13-Feb-14
2-Jun-11|NCT00364247|
2-Jun-11|NCT00364546|
24-Jan-12|NCT00364780|
22-Jul-09|NCT00365352|21-Apr-11
22-Jul-09|NCT00366080|
24-Aug-10|NCT00366145|
7-Feb-13|NCT00366327|
26-Feb-09|NCT00366340|26-Mar-10
26-Feb-09|NCT00366548|26-Mar-10
26-Feb-09|NCT00366678|26-Mar-10
7-Feb-13|NCT00366704|
26-Feb-09|NCT00366899|26-Mar-10
22-Jul-09|NCT00367679|19-Nov-09
7-Feb-13|NCT00367887|
23-Aug-12|NCT00368108|23-Oct-12
9-Sep-09|NCT00368251|
26-Feb-09|NCT00368966|26-Mar-10
10-Jul-12|NCT00370383|
3-Dec-13|NCT00370981|
13-Mar-12|NCT00372489|26-Apr-12
22-Jul-13|NCT00372944|
8-May-12|NCT00372996|
22-Jan-09|NCT00373334|3-Aug-09
24-Feb-10|NCT00373529|24-Feb-11
26-Feb-09|NCT00373958|26-Mar-10
10-May-12|NCT00374322|17-Jul-14
19-Jul-11|NCT00374413|
30-Jul-09|NCT00374907|26-Dec-10
29-Sep-09|NCT00375193|
3-May-12|NCT00375219|5-May-14
11-Aug-09|NCT00375401|
9-Dec-11|NCT00375752|30-Mar-12
30-Apr-14|NCT00376623|
20-Oct-09|NCT00376935|4-Oct-11
19-Nov-09|NCT00377819|1-Jul-10
1-Jul-10|NCT00379821|30-Jun-11
20-Jul-11|NCT00379938|
22-Jul-09|NCT00379990|
20-Jan-14|NCT00380159|
3-Sep-09|NCT00380393|
30-Jan-09|NCT00380744|
29-Mar-10|NCT00381238|
13-Apr-09|NCT00381485|30-Jun-10
1-Mar-11|NCT00381602|
2-Jan-13|NCT00382096|
15-Feb-10|NCT00382460|
6-Apr-09|NCT00383188|
22-Oct-09|NCT00383240|30-Jun-10
10-Feb-12|NCT00383292|
10-Jun-09|NCT00383422|
3-Jul-12|NCT00383513|
14-Apr-09|NCT00383552|15-Jul-10
2-Jan-13|NCT00383578|
26-Feb-09|NCT00384059|26-Mar-10
6-Apr-11|NCT00384176|7-Mar-12
21-Feb-13|NCT00384358|
31-Mar-10|NCT00384397|10-May-11
21-Feb-13|NCT00384852|
3-Feb-10|NCT00384904|
22-Jul-09|NCT00385099|
6-Apr-11|NCT00385203|28-Mar-12
10-Nov-11|NCT00385697|
31-Jan-13|NCT00385827|13-May-14
26-Apr-12|NCT00387127|
21-Feb-13|NCT00387686|
21-Jan-09|NCT00387725|
8-Sep-10|NCT00387738|
30-Mar-10|NCT00388583|14-Jul-11
10-Sep-10|NCT00388609|
31-May-12|NCT00388960|
10-Sep-10|NCT00389155|
3-Jan-14|NCT00389675|
3-Jan-14|NCT00389779|
3-Sep-09|NCT00390143|
22-Jul-09|NCT00390845|
25-Sep-09|NCT00390910|
25-Feb-11|NCT00391118|
11-Aug-09|NCT00391196|
30-Mar-10|NCT00391391|12-Oct-11
11-Feb-10|NCT00391443|25-Apr-12
27-Aug-10|NCT00392574|
19-Sep-11|NCT00392925|12-Aug-13
18-Jun-10|NCT00393120|
22-Jul-09|NCT00393146|
26-Oct-09|NCT00393718|23-Feb-10
24-Aug-10|NCT00393952|
24-Aug-10|NCT00393991|
24-Aug-10|NCT00394121|
24-Aug-10|NCT00394199|
4-Apr-09|NCT00394563|
8-Jun-11|NCT00394771|25-Apr-13
26-Jul-12|NCT00395135|4-Jan-13
12-Aug-10|NCT00395317|
30-Jul-09|NCT00395512|19-Feb-13
26-Oct-09|NCT00395746|23-Feb-10
18-May-09|NCT00395876|14-Jul-10
10-Jun-09|NCT00396032|24-Mar-10
10-Jun-09|NCT00396253|25-Mar-10
10-Jun-10|NCT00396279|23-Jan-14
10-Jun-09|NCT00396318|19-Sep-10
28-Dec-12|NCT00396357|
11-Aug-09|NCT00396448|
21-Jul-11|NCT00396591|17-Aug-12
21-Mar-14|NCT00397228|
12-Aug-10|NCT00397293|
21-Mar-14|NCT00397696|
9-Mar-12|NCT00397943|
25-Feb-11|NCT00398567|
6-Apr-11|NCT00399035|29-Mar-12
6-Apr-09|NCT00399490|
29-Nov-12|NCT00399529|
3-Apr-09|NCT00399568|25-Sep-09
21-Jan-09|NCT00401245|6-Sep-11
25-Apr-12|NCT00401570|
25-Oct-10|NCT00402116|
29-Apr-10|NCT00402168|
17-Sep-09|NCT00402428|
21-Apr-11|NCT00402597|25-Jul-12
22-Apr-11|NCT00403767|2-Dec-11
11-Jul-12|NCT00404014|
19-Nov-09|NCT00404547|8-Mar-10
16-Feb-12|NCT00404768|
13-Oct-10|NCT00405392|
12-Sep-13|NCT00405743|
16-Aug-13|NCT00405951|
29-Apr-09|NCT00406029|
28-Aug-13|NCT00406068|
28-Jun-13|NCT00406419|
30-Oct-12|NCT00406458|
16-Aug-13|NCT00407303|
1-Jul-09|NCT00407914|
24-Mar-09|NCT00408954|
9-Mar-10|NCT00409175|16-Nov-12
24-May-14|NCT00409539|
11-Apr-14|NCT00410280|
21-Oct-10|NCT00410384|7-Apr-11
24-Aug-09|NCT00410514|2-Aug-12
28-Mar-11|NCT00410761|27-Apr-11
2-May-12|NCT00411099|
2-May-12|NCT00411242|
17-Sep-09|NCT00411385|
20-Jul-10|NCT00411450|
21-Jul-14|NCT00411645|
9-Nov-09|NCT00411892|
30-Apr-14|NCT00412880|
12-Mar-14|NCT00412893|
29-Apr-09|NCT00413062|27-Apr-11
16-Aug-13|NCT00413114|
6-Apr-09|NCT00413660|4-Dec-12
22-May-12|NCT00413777|
9-Feb-13|NCT00414765|
25-Feb-11|NCT00414960|
5-Apr-11|NCT00415363|
9-Mar-09|NCT00415597|11-Sep-09
2-Mar-09|NCT00418236|
20-Jul-10|NCT00418938|4-Oct-13
18-Jan-12|NCT00419081|
26-Mar-09|NCT00420004|
31-Oct-12|NCT00420212|5-May-14
11-Dec-09|NCT00420381|
28-May-14|NCT00420732|
2-Jun-14|NCT00420888|
9-Mar-09|NCT00420992|11-Sep-09
27-Jun-12|NCT00421304|
22-Jul-09|NCT00421707|
18-Dec-12|NCT00421889|
31-Mar-10|NCT00422292|10-May-11
18-Mar-14|NCT00422422|
6-Apr-09|NCT00422461|
11-Jul-12|NCT00422981|
30-Apr-14|NCT00423137|
21-Jun-11|NCT00423319|14-Apr-14
6-Apr-11|NCT00423332|3-Apr-12
17-Apr-09|NCT00423670|13-May-11
17-Apr-09|NCT00424008|30-Jun-10
6-Apr-09|NCT00424294|10-Sep-14
8-Oct-09|NCT00424398|8-Oct-09
22-Sep-09|NCT00424476|7-Apr-11
13-Oct-10|NCT00424697|
11-Apr-14|NCT00425061|
31-Mar-11|NCT00425165|
27-May-11|NCT00425321|
11-Apr-13|NCT00425464|
20-Aug-09|NCT00426361|12-Nov-09
23-Aug-12|NCT00427011|20-Nov-12
9-Nov-09|NCT00427154|
16-Aug-13|NCT00427856|
2-Aug-12|NCT00427908|
13-Oct-10|NCT00428090|
13-Jun-11|NCT00428610|
27-May-10|NCT00428714|
1-Feb-13|NCT00428948|
17-May-12|NCT00429299|
14-Sep-12|NCT00429429|
16-Mar-11|NCT00430300|17-May-13
20-May-09|NCT00430521|
6-Dec-12|NCT00431015|
13-Oct-10|NCT00431236|
17-May-12|NCT00431834|9-Aug-13
22-Sep-10|NCT00432185|
8-Apr-10|NCT00432276|19-Feb-13
5-May-09|NCT00432666|31-Aug-10
17-Aug-10|NCT00433147|
29-Sep-09|NCT00433654|11-Jan-11
13-Mar-12|NCT00434330|26-Apr-12
31-Jan-12|NCT00434473|
8-Jun-09|NCT00434512|
9-Mar-12|NCT00434577|
28-Nov-11|NCT00434811|
28-Nov-11|NCT00434850|
17-Dec-10|NCT00435162|17-Dec-10
2-Jul-12|NCT00435227|
16-Jun-14|NCT00435812|
24-May-11|NCT00435916|
2-Feb-12|NCT00436007|19-Dec-12
25-Oct-10|NCT00436280|
21-Jul-09|NCT00436683|
26-Feb-13|NCT00436969|13-Aug-13
20-Jul-11|NCT00437021|
16-Apr-10|NCT00437268|
16-Feb-10|NCT00437294|
24-Feb-12|NCT00437658|
21-Dec-11|NCT00439777|22-Nov-12
21-Dec-11|NCT00440193|22-Nov-12
12-Aug-10|NCT00440388|
14-May-10|NCT00440947|19-May-11
21-May-13|NCT00441090|
20-Nov-13|NCT00441883|
28-Oct-09|NCT00441896|
13-Feb-11|NCT00442039|
28-Oct-09|NCT00442104|
14-Sep-11|NCT00442364|7-Jan-14
23-Aug-11|NCT00443040|14-Oct-11
18-Aug-11|NCT00443391|
10-Mar-10|NCT00443781|23-Jun-10
10-Dec-09|NCT00444626|
14-Jan-11|NCT00445003|14-Apr-11
22-Dec-11|NCT00445198|
29-Jan-13|NCT00445458|
10-Dec-09|NCT00446199|23-Mar-12
12-May-11|NCT00446550|
29-Oct-10|NCT00447382|24-Nov-10
5-Jan-11|NCT00447564|
30-Nov-09|NCT00448058|
27-Aug-10|NCT00448422|
14-Oct-10|NCT00448890|
20-Jun-11|NCT00449644|29-Jan-13
20-May-09|NCT00449670|
8-Apr-09|NCT00449696|15-Apr-11
9-Feb-13|NCT00449761|
13-Dec-10|NCT00449878|
13-Dec-10|NCT00449904|
28-Jun-10|NCT00450112|15-Apr-11
3-Aug-09|NCT00450437|19-Mar-10
9-Aug-12|NCT00450970|
9-Feb-13|NCT00451035|
27-Nov-12|NCT00451152|
24-May-12|NCT00451178|
15-Nov-12|NCT00451321|
1-Nov-12|NCT00451451|5-May-14
5-Apr-11|NCT00451555|
18-Jan-13|NCT00452127|
21-Oct-09|NCT00452335|
27-May-10|NCT00452413|
16-Oct-08|NCT00452426|6-Oct-10
21-Jan-09|NCT00452452|26-Mar-10
23-Apr-13|NCT00453180|
15-May-13|NCT00453271|
22-Jul-09|NCT00453479|
13-Mar-12|NCT00453973|26-Apr-12
3-Sep-09|NCT00453986|23-Apr-12
9-Dec-11|NCT00453999|
16-Dec-11|NCT00454220|
16-Aug-11|NCT00454779|11-Oct-13
6-Apr-11|NCT00454805|25-Apr-12
3-Sep-09|NCT00454909|
23-Jan-12|NCT00454987|
29-Apr-10|NCT00455013|16-Jul-13
28-Mar-13|NCT00456092|
30-Oct-12|NCT00456521|
30-Dec-09|NCT00457015|30-Dec-09
22-Apr-13|NCT00457197|
28-Apr-10|NCT00457249|17-Sep-12
24-Mar-09|NCT00457457|
31-Aug-10|NCT00457821|27-Feb-12
11-Feb-10|NCT00458276|
24-Jun-10|NCT00458601|
4-Sep-13|NCT00458978|
20-Jan-10|NCT00459277|
31-Mar-11|NCT00461292|9-Sep-11
